song_name,artist_name,date_posted,tag,album_art,song_data_url,background_light,background_dark,song_duration
Friend,Wolfgang Amadeus Mozart,08/09/2017,# Classical,https://i1.sndcdn.com/artworks-000046826426-o7i9ki-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Friend.mp3,"(37, 37, 233)","(67, 62, 80)",292
Friends In The Dark (feat. Otis Parker),Franz Liszt,03/19/2014,# Classical,https://i1.sndcdn.com/artworks-000081944984-b29c1g-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Friends+In+The+Dark+(feat.+Otis+Parker).mp3,"(174, 173, 67)","(95, 79, 120)",186
Glory Gore (Unlike Pluto remix),Niccolo Paganini,11/11/2019,# Classical,https://i1.sndcdn.com/artworks-000385131576-r9bq1u-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Glory+_+Gore+(Unlike+Pluto+remix).mp3,"(244, 203, 59)","(73, 73, 73)",204
Hello (Marshmello Remix),Morgan Wallen,05/23/2016,# Country,https://i1.sndcdn.com/artworks-2abcaf2b-d0f9-4ec8-ad38-e83cb2c79b27-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Hello+(Marshmello+Remix).mp3,"(204, 38, 4)","(63, 63, 63)",233
Hero (feat. Christina Perri),Logan Mize,08/09/2005,# Country,https://i1.sndcdn.com/avatars-000331016690-g5utdg-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Hero+(feat.+Christina+Perri).mp3,"(10, 144, 193)","(95, 100, 68)",198
I Want U,Russell Dickerson,10/10/2019,# Country,https://i1.sndcdn.com/artworks-8p8VVow1ksFd-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/I+Want+U.mp3,"(127.5, 127.5, 127.5)","(76, 60, 52)",212
I Won t Let You Walk Away (feat. Madison Beer),Jon Pardi,12/12/2001,# Country,https://i1.sndcdn.com/artworks-RRKmVXcilWFq-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/I+Won_t+Let+You+Walk+Away+(feat.+Madison+Beer).mp3,"(226, 140, 26)","(50, 75, 78)",165
In The Name Of Love (feat. Bebe Rexha),Jordan Davis,05/23/2016,# Country,https://i1.sndcdn.com/artworks-hfeQFCFDyk9m-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/In+The+Name+Of+Love+(feat.+Bebe+Rexha).mp3,"(168, 12, 20)","(68, 76, 60)",198
Infinity (Illenium Remix),Sir Rosevelt,01/22/2018,# Country,https://i1.sndcdn.com/artworks-8tFwryXE6Vf8-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Infinity+(Illenium+Remix).mp3,"(127.5, 127.5, 127.5)","(66, 56, 45)",278
It s All On U (feat. Liam O Donnell),Jerrod Niemann,03/19/2014,# Country,https://i1.sndcdn.com/artworks-T57DemwYS2Ut-0-t500x500.png,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/It_s+All+On+U+(feat.+Liam+O_Donnell).mp3,"(236.5, 180.5, 18.5)","(62, 65, 83)",204
Leaves in the Pool,Kacey Musgraves,10/30/2016,# Country,https://i1.sndcdn.com/artworks-wDrGREVyd670-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Leaves+in+the+Pool.mp3,"(195, 55, 52)","(73, 72, 70)",218
Light,Florida Georgia Line,03/19/2014,# Country,https://i1.sndcdn.com/artworks-BWiOHpuSXLI0-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Light.mp3,"(134, 124.5, 120.5)","(88, 70, 43)",240
Limelight (feat. ROZES) [NGHTMRE Remix],Brothers Osborne,12/12/2017,# Country,https://i1.sndcdn.com/artworks-bTfJN2R7JvO2-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Limelight+(feat.+ROZES)+%5BNGHTMRE+Remix%5D.mp3,"(236, 61, 74)","(42, 36, 81)",255
Lionhearted (Arty Remix) [feat. Urban Cone],Dierks Bentley,08/09/2017,# Country,https://i1.sndcdn.com/artworks-wlTOSyD1USOC-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/09+Lionhearted+(feat.+Urban+Cone).m4a,"(146, 77, 38)","(51, 65, 94)",216
Lost in You,Eyolf Dale,09/25/2017,# Jazz,https://i1.sndcdn.com/artworks-GDBf848n0gXU-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Lost+in+You.mp3,"(218, 125, 66)","(68, 60, 62)",207
Love War (feat. Yade Lauren),Joran Cariou Trio,04/07/2019,# Jazz,https://i1.sndcdn.com/artworks-NNYg9mnBGLA4-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Love+_+War+(feat.+Yade+Lauren).mp3,"(214, 12, 20)","(118, 56, 34)",180
Love Is Alive (feat. Elohim),Bill Evans,01/22/2018,# Jazz,https://i1.sndcdn.com/artworks-PSisSikQ3kKg-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Love+Is+Alive+(feat.+Elohim).mp3,"(54, 88, 180)","(60, 58, 110)",170
Make Time,Art Farmer,01/01/2019,# Jazz,https://i1.sndcdn.com/artworks-ZqlrFViBYvXy-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Make+Time.mp3,"(211, 135, 70)","(99, 76, 62)",203
Mr. Brightside (Two Friends Remix),Joe Pass,05/23/2016,# Jazz,https://i1.sndcdn.com/artworks-1nyIGg9s8QpJ-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Mr.+Brightside+(Two+Friends+Remix).mp3,"(200, 124, 44)","(78, 86, 83)",215
Native Tongue,Freddie Hubbard,01/01/2019,# Jazz,https://i1.sndcdn.com/artworks-I6rsKQDT2qNO-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Native+Tongue.mp3,"(17, 37, 192)","(52, 60, 60)",178
Neighborhood,Wes Montgomery,10/10/2019,# Jazz,https://i1.sndcdn.com/artworks-IrpdD6f2x9Dl-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Neighborhood.mp3,"(39, 100, 123)","(66, 54, 50)",220
No Coming Down (feat. Alex Wiley Sky Montique),Ahmad Jamal Trio,08/09/2017,# Jazz,https://i1.sndcdn.com/artworks-fy1FosylY3EX-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/No+Coming+Down+(feat.+Alex+Wiley+_+Sky+Montique).mp3,"(196, 100, 68)","(68, 57, 56)",195
No Sunshine,Thelonious Monk,12/12/2017,# Jazz,https://i1.sndcdn.com/artworks-7iPQmkzcOvIL-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/No+Sunshine.mp3,"(166, 52, 41)","(51, 69, 83)",178
Nonsense (feat. Mark Foster),Duke Ellington,10/30/2016,# Jazz,https://i1.sndcdn.com/artworks-YcTk6qWXkwTM-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Nonsense+(feat.+Mark+Foster).mp3,"(67, 117, 168)","(70, 65, 46)",226
Nonsense (Live Edit),The Dave Brubeck Quartet,05/23/2016,# Jazz,https://i1.sndcdn.com/artworks-gfOJedqK130T-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Nonsense+(Live+Edit).mp3,"(228, 116, 60)","(80, 77, 46)",148
Nothin s on Fire,Ben Webster,04/07/2019,# Jazz,https://i1.sndcdn.com/artworks-YDKCgfEjZMJt-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Nothin_s+on+Fire.mp3,"(193, 32, 36)","(59, 69, 74)",202
Straightjacket,Quinn XCII,08/09/2005,# Pop,https://i1.sndcdn.com/artworks-AeDN87vTNPV4-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Straightjacket.mp3,"(236, 203, 43)","(89, 68, 45)",206
Say It (feat. Tove Lo) (Illenium Remix),Maroon 5,03/19/2014,# Pop,https://i1.sndcdn.com/artworks-jhOxifWB2PTy-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Say+It+(feat.+Tove+Lo)+(Illenium+Remix).mp3,"(197, 52, 38)","(90, 55, 41)",267
Say It (feat. Tove Lo),Post Malone,01/22/2018,# Pop,https://i1.sndcdn.com/artworks-000594137154-slmzbh-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Say+It+(feat.+Tove+Lo).mp3,"(127.5, 127.5, 127.5)","(78, 61, 68)",262
Shelter,Porter Robinson,10/10/2019,# Pop,https://i1.sndcdn.com/artworks-000597764357-xcrg61-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Shelter.mp3,"(74, 96, 186)","(79, 76, 52)",217
Show Tell (feat. Claire Ridgely),Harry Styles,11/11/2019,# Pop,https://i1.sndcdn.com/artworks-aOOOBGtG3Vlz-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Show+_+Tell+(feat.+Claire+Ridgely).mp3,"(188, 116, 44)","(52, 68, 84)",185
Smoke Retribution (feat. Vince Staples Kuc%CC%8Cka),Camilla Cabello,09/25/2017,# Pop,https://i1.sndcdn.com/artworks-000593311836-1ps4pc-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Smoke+_+Retribution+(feat.+Vince+Staples+_+Kuc%CC%8Cka).mp3,"(100, 164, 184)","(75, 68, 65)",240
Smoke Filled Room vs. The Buzz,Ed Sheeran,08/12/2010,# Pop,https://i1.sndcdn.com/artworks-uzih1iJQgQvj-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Smoke+Filled+Room+vs.+The+Buzz.mp3,"(127.5, 127.5, 127.5)","(52, 70, 69)",206
So Long (feat. Madi),The Chainsmokers,08/09/2017,# Pop,https://i1.sndcdn.com/artworks-qgoFFOv8uhBj-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/So+Long+(feat.+Madi).mp3,"(185, 121, 69)","(60, 59, 60)",178
Perdoname (feat. Adrian Delgado Cy Cy),Billie Eilish,01/01/2019,# Pop,https://i1.sndcdn.com/artworks-000512905044-7r5f4k-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Perdoname+(feat.+Adrian+Delgado+_+Cy+Cy).mp3,"(60, 93, 165)","(72, 64, 49)",269
Superstar (feat. Krewella),Taking Back Sunday,08/09/2005,# Punk,https://i1.sndcdn.com/artworks-Ct5bh2m9jCsB-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Superstar+(feat.+Krewella).mp3,"(194, 134, 83)","(60, 66, 72)",204
Take Me Apart (feat. Remmi),Jimmy Eat World,03/19/2014,# Punk,https://i1.sndcdn.com/artworks-NtGjrL2sXeya-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Take+Me+Apart+(feat.+Remmi).mp3,"(167, 83, 75)","(92, 60, 48)",216
Talk Is Overrated (feat. Blackbear),The Red Jumpsuit Apparatus,01/22/2018,# Punk,https://i1.sndcdn.com/artworks-hXbFJPcJfZa1-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Talk+Is+Overrated+(feat.+Blackbear).mp3,"(194, 156, 121)","(103, 57, 62)",189
Mine (Bearson Remix),Rise Against,05/23/2016,# Punk,https://i1.sndcdn.com/artworks-vLF0GRkcCWky-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Mine+(Bearson+Remix).mp3,"(204, 119, 50)","(83, 68, 51)",225
Thief,Sugarcult,09/25/2017,# Punk,https://i1.sndcdn.com/avatars-000009619835-m8wwvy-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Thief.mp3,"(127.5, 127.5, 127.5)","(76, 92, 44)",242
Things (Taylor Wise Remix),Protest The Hero,08/09/2017,# Punk,https://i1.sndcdn.com/artworks-LCOe8qoZuEeL-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Things+(Taylor+Wise+Remix).mp3,"(192, 162, 93)","(43, 56, 80)",215
Together We re Screwed (feat. Nevve),The Used,11/11/2019,# Punk,https://i1.sndcdn.com/artworks-CJ51kqasienI-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Together+We_re+Screwed+(feat.+Nevve).mp3,"(127.5, 127.5, 127.5)","(46, 41, 76)",196
Troubled (feat. Debs Daughter),Thrice,01/01/2019,# Punk,https://i1.sndcdn.com/artworks-ge5mLkrregJR-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Troubled+(feat.+Debs+Daughter).mp3,"(236, 151, 18)","(72, 45, 95)",207
Until You Were Gone (feat. Emily Warren) [Justin Caruso Remix],Broadway,12/12/2017,# Punk,https://i1.sndcdn.com/artworks-bfl7RT9iGQcS-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Until+You+Were+Gone+(feat.+Emily+Warren)+%5BJustin+Caruso+Remix%5D.mp3,"(68, 141, 143)","(76, 36, 44)",280
The Thrill,Propagandhi,10/30/2016,# Punk,https://i1.sndcdn.com/artworks-000069066140-4h0ug6-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/The+Thrill.mp3,"(228, 148, 40)","(68, 68, 68)",235
Wild Kind (feat. Varpu),Strike Anywhere,01/22/2018,# Punk,https://i1.sndcdn.com/artworks-KoUlAeThdG5k-0-t500x500.png,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Wild+Kind+(feat.+Varpu).mp3,"(176, 125, 84)","(88, 45, 68)",215
With You (feat. Quinn XCII),Senses Fail,08/09/2017,# Punk,https://i1.sndcdn.com/artworks-jUKqcFwjfn4x-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/With+You+(feat.+Quinn+XCII).mp3,"(228, 69, 60)","(84, 68, 60)",186
Working For It,Thursday,08/09/2005,# Punk,https://i1.sndcdn.com/artworks-bszxD0O8hhUH-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Working+For+It.mp3,"(178.5, 76.5, 127.5)","(72, 72, 72)",231